Original Operator,NNG Operator,Target,Staging Usage,Peak% (Staging),Op Cycles,Network% (cycles),NPU,SRAM AC,DRAM AC,OnFlash AC,OffFlash AC,MAC Count,Network% (MAC),Util% (MAC),Name
Conv2D,Conv2D,NPU,51200,14.192575508936887,32226,7.967168127371843,10517,2500,32226,0,0,1382400,3.3950403529427367,2.094582014522435,model_1/tf.math.add/Add;model_1/tf.nn.convolution/convolution;Const_1381
Prelu,Mul,NPU,102400,28.385151017873774,3200,0.7911294609194408,1600,3200,0,0,0,0,0.0,0.0,model_1/tf.__operators__.add/AddV2;model_1/tf.nn.relu/Relu;model_1/tf.math.negative/Neg;model_1/tf.nn.relu_1/Relu;model_1/tf.math.multiply_1/Mul1_rescaled
Prelu,Mul,NPU,153600,42.577726526810665,5000,1.2361397826866263,3200,5000,39,0,0,0,0.0,0.0,model_1/tf.__operators__.add/AddV2;model_1/tf.nn.relu/Relu;model_1/tf.math.negative/Neg;model_1/tf.nn.relu_1/Relu;model_1/tf.math.multiply_1/Mul1
Prelu,Maximum,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,model_1/tf.__operators__.add/AddV2;model_1/tf.nn.relu/Relu;model_1/tf.math.negative/Neg;model_1/tf.nn.relu_1/Relu;model_1/tf.math.multiply_1/Mul1
DepthwiseConv2D,DepthwiseConv2D,NPU,103184,28.60247483035437,4835,1.1953471698579676,4835,4509,1562,0,0,460800,1.1316801176475788,4.653567735263702,model_1/tf.math.add_1/Add;model_1/tf.compat.v1.nn.depthwise_conv2d/depthwise;Const_1351
Prelu,Mul,NPU,102400,28.385151017873774,3200,0.7911294609194408,1600,3200,0,0,0,0,0.0,0.0,model_1/tf.__operators__.add_1/AddV2;model_1/tf.nn.relu_2/Relu;model_1/tf.math.negative_1/Neg;model_1/tf.nn.relu_3/Relu;model_1/tf.math.multiply_3/Mul1_rescaled
Prelu,Mul,NPU,153600,42.577726526810665,5000,1.2361397826866263,3200,5000,39,0,0,0,0.0,0.0,model_1/tf.__operators__.add_1/AddV2;model_1/tf.nn.relu_2/Relu;model_1/tf.math.negative_1/Neg;model_1/tf.nn.relu_3/Relu;model_1/tf.math.multiply_3/Mul1
Prelu,Maximum,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,model_1/tf.__operators__.add_1/AddV2;model_1/tf.nn.relu_2/Relu;model_1/tf.math.negative_1/Neg;model_1/tf.nn.relu_3/Relu;model_1/tf.math.multiply_3/Mul1
Conv2D,Conv2D,NPU,236320,65.50760633343683,41015,10.140054637378395,12154,9770,41015,0,0,5273600,12.95145023530007,6.278190905766183,model_1/tf.math.add_2/Add;model_1/tf.nn.convolution_1/convolution;Const_1321
Prelu,Mul,NPU,358400,99.34802856255821,11200,2.7689531132180427,5600,11200,0,0,0,0,0.0,0.0,model_1/tf.__operators__.add_2/AddV2;model_1/tf.nn.relu_4/Relu;model_1/tf.math.negative_2/Neg;model_1/tf.nn.relu_5/Relu;model_1/tf.math.multiply_5/Mul1_rescaled
